Rank,Feature,Importance
1,unregistration_rate,0.38149014597295516
2,average_score,0.206336188872547
3,assessment_count,0.12503710200984672
4,unregistered_count,0.11675901651901636
5,performance_engagement,0.07495521057096556
6,average_weight,0.04054083670994531
7,ever_unregistered,0.01734144927846133
8,min_score,0.013718826976335492
9,max_score,0.007661746314710169
10,score_range,0.005361133212483085
11,score_consistency,0.004892505151088443
12,unique_vle_resources,0.0033462628330259377
13,vle_interactions,0.0011615790099361242
14,interactions_per_resource,0.0008392399081646616
15,average_registration_date,0.0005587566605187558
