visited_resources,announcements_view,discussion_count,raised_hands,login_count,Class
28,2,0,8,6,Average
14,7,4,12,3,Good
21,9,6,12,4,Good
11,0,8,4,26,Good
30,8,0,13,40,Excellent
25,5,7,26,26,Excellent
13,8,0,1,24,Good
15,0,0,5,19,Average
20,1,10,7,35,Excellent
2,6,0,11,18,Average
3,7,1,7,2,At Risk
1,3,0,6,32,Average
0,6,7,25,4,Good
20,3,0,9,40,Excellent
18,4,5,25,25,Excellent
10,3,2,14,5,Average
15,8,9,8,24,Excellent
20,1,0,22,11,Good
7,3,1,16,8,Average
25,10,0,4,23,Excellent
10,2,6,17,18,Good
18,9,2,30,14,Excellent
1,10,2,22,18,Good
18,5,8,0,21,Good
7,4,5,7,10,Average
27,1,7,20,28,Excellent
27,7,8,19,29,Excellent
11,7,1,6,21,Good
28,7,2,0,31,Excellent
5,6,8,28,0,Good
16,6,5,0,27,Good
27,5,9,14,26,Excellent
25,5,4,2,36,Excellent
16,3,4,19,37,Excellent
30,7,8,25,8,Excellent
30,9,2,12,30,Excellent
21,4,4,9,5,Good
27,0,9,22,18,Excellent
4,1,2,5,16,Average
0,3,0,8,24,Average
22,0,4,2,5,Average
11,4,2,8,27,Good
23,5,0,0,14,Average
28,6,8,23,2,Excellent
10,0,7,24,0,Average
27,4,7,20,32,Excellent
22,1,5,19,20,Excellent
15,6,1,26,40,Excellent
25,5,9,3,26,Excellent
13,3,8,24,11,Excellent
2,3,8,22,22,Good
27,10,6,16,22,Excellent
11,5,2,26,10,Good
16,3,6,22,23,Excellent
20,1,3,4,22,Good
10,2,7,5,10,Average
20,8,2,13,15,Good
3,5,2,14,12,Average
17,2,0,24,16,Good
27,1,0,5,22,Good
27,5,3,26,35,Excellent
17,9,1,6,34,Excellent
22,3,1,1,5,Average
15,8,9,26,2,Excellent
9,8,6,23,15,Excellent
29,6,3,17,27,Excellent
25,1,0,5,4,Average
9,1,0,5,13,At Risk
11,2,4,6,4,Average
3,3,7,24,29,Excellent
0,4,7,9,33,Good
16,6,9,12,17,Excellent
4,9,8,30,16,Excellent
30,7,7,4,33,Excellent
15,3,0,23,38,Excellent
7,7,6,28,34,Excellent
30,9,3,8,31,Excellent
14,10,6,0,6,Good
8,8,2,28,25,Excellent
29,1,7,13,34,Excellent
4,2,9,5,28,Good
22,2,10,1,16,Good
0,2,2,5,22,Average
3,6,2,27,28,Excellent
20,1,6,15,18,Good
16,7,5,25,12,Excellent
30,8,1,13,5,Good
15,3,4,18,0,Average
24,10,2,12,0,Good
26,8,5,15,11,Excellent
8,7,7,10,18,Good
30,8,2,15,3,Good
4,2,4,18,6,Average
16,8,10,9,25,Excellent
8,10,4,28,32,Excellent
13,4,8,16,15,Good
30,4,7,9,27,Excellent
16,7,9,4,22,Excellent
21,8,6,29,28,Excellent
14,7,0,26,27,Excellent
15,9,2,18,17,Excellent
21,5,0,20,31,Excellent
30,0,7,23,6,Excellent
18,2,5,13,40,Excellent
0,3,7,6,31,Good
1,1,5,6,31,Good
0,6,6,1,15,Average
30,9,0,12,18,Excellent
30,1,6,15,5,Good
0,3,7,2,23,Average
3,0,4,3,17,Average
28,9,0,15,4,Good
6,10,1,17,22,Good
30,0,8,19,40,Excellent
11,0,3,4,3,At Risk
24,10,7,13,20,Excellent
28,5,4,28,7,Excellent
25,6,2,10,30,Excellent
23,8,6,20,15,Excellent
0,10,9,5,13,Good
5,7,2,2,18,Average
1,3,1,1,3,At Risk
13,3,1,9,2,Average
7,6,0,23,3,Average
12,7,9,0,14,Good
4,4,3,13,32,Good
8,5,8,19,2,Good
15,8,1,21,21,Excellent
11,0,5,12,33,Good
22,5,5,22,38,Excellent
15,5,0,2,31,Good
22,10,8,19,2,Excellent
6,10,9,12,15,Excellent
4,8,4,0,15,Average
28,8,7,27,11,Excellent
11,1,1,20,17,Good
29,9,0,2,36,Excellent
17,10,2,6,17,Good
4,2,1,16,17,Average
0,8,5,19,38,Excellent
18,5,2,18,21,Excellent
9,1,7,22,5,Good
29,9,4,10,4,Good
2,10,1,9,6,Average
13,4,0,10,30,Good
5,9,8,4,24,Good
25,5,4,3,27,Excellent
17,0,0,17,18,Good
6,1,0,5,15,At Risk
20,3,8,25,1,Good
2,7,1,11,6,Average
2,9,10,20,21,Excellent
30,7,4,11,6,Good
5,1,0,24,27,Good
13,2,9,26,18,Excellent
16,4,7,0,20,Good
8,4,5,24,4,Good
15,5,4,6,3,Average
0,6,2,1,24,Average
12,6,1,22,5,Good
18,3,10,26,17,Excellent
0,9,3,3,20,Average
14,8,0,11,6,Average
5,3,2,1,4,At Risk
14,10,4,29,17,Excellent
6,1,0,14,17,Average
12,9,5,25,26,Excellent
0,4,0,3,17,At Risk
16,0,1,17,37,Excellent
24,5,1,29,32,Excellent
22,6,4,25,37,Excellent
28,4,5,16,28,Excellent
26,6,0,0,9,Average
12,2,5,10,40,Excellent
21,4,2,22,5,Good
24,1,3,5,25,Good
19,9,4,3,25,Excellent
17,6,4,30,3,Excellent
10,3,6,12,1,Average
4,0,8,19,13,Good
0,9,9,19,6,Good
16,3,10,10,31,Excellent
4,9,8,4,16,Good
19,0,9,14,35,Excellent
4,6,7,12,35,Excellent
28,1,4,14,12,Good
29,9,6,9,27,Excellent
14,3,6,12,10,Good
20,7,8,16,12,Excellent
19,2,10,8,5,Good
19,8,8,26,15,Excellent
1,6,4,0,27,Average
23,6,8,21,0,Excellent
26,8,2,15,6,Good
14,1,8,29,4,Good
9,4,9,16,13,Good
26,2,10,22,6,Excellent
5,0,2,28,40,Excellent
16,1,1,2,19,Average
29,2,8,1,15,Good
16,3,9,3,37,Excellent
22,4,3,3,8,Average
25,2,5,15,39,Excellent
10,0,3,20,13,Average
6,9,5,27,37,Excellent
10,2,8,21,16,Good
3,4,4,25,38,Excellent
25,1,5,6,38,Excellent
29,5,3,17,28,Excellent
11,8,7,30,37,Excellent
9,8,5,18,12,Good
17,0,9,16,20,Excellent
23,1,10,24,16,Excellent
29,6,3,22,33,Excellent
17,1,10,8,31,Excellent
19,3,7,24,32,Excellent
4,6,3,1,34,Good
16,4,3,7,9,Average
2,8,9,3,14,Good
17,10,10,7,0,Good
11,8,1,13,8,Good
30,0,3,20,7,Good
11,7,4,10,40,Excellent
0,3,10,29,38,Excellent
19,10,0,19,17,Excellent
7,6,5,11,10,Good
4,2,4,9,14,Average
16,6,1,6,25,Good
30,4,5,17,39,Excellent
9,6,5,25,33,Excellent
22,0,10,1,11,Good
5,1,10,2,30,Good
12,4,8,3,2,Average
11,0,9,16,12,Good
1,9,4,13,22,Good
11,3,7,5,38,Excellent
13,3,10,18,36,Excellent
24,3,0,22,10,Good
16,1,9,1,28,Good
